D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_035.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_035.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_035.jpg,0,0,0,1.516892E-05
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_107.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_107.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_107.jpg,0,0,0,7.002068E-06
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_174.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_174.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_174.jpg,0,0,0,9.950552E-06
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_249.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_249.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_249.jpg,0,0,0,1.446085E-06
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_322.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_322.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_322.jpg,0,0,0,5.659941E-06
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_391.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_391.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_391.jpg,0,0,0,1.367219E-05
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_467.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_467.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_467.jpg,0,0,0,9.366515E-07
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_540.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_540.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_540.jpg,-0.2,0.0608139,0,0.03821176
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_616.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_616.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_616.jpg,-0.35,0.2535306,0,0.1621468
D:\Udacity\CarND-Behavioral-Cloning\data\IMG\center_2018_12_28_22_29_06_685.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\left_2018_12_28_22_29_06_685.jpg,D:\Udacity\CarND-Behavioral-Cloning\data\IMG\right_2018_12_28_22_29_06_685.jpg,-0.5500001,0.4915008,0,0.4996709
